,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,30,25,25,25,25,25,25,30,30,25,25,10,7,5,5,10,10,10,10,25,30,30,120,120
02,120,120,220,220,200,30,30,,,,,,40,30,30,40,40,40,40,40,40,30,30,30
03,80,,,70,80,70,70,70,30,30,30,45,45,45,45,45,45,30,25,40,30,20,15,15
04,70,80,200,200,200,200,200,,,,,,,60,70,45,45,45,45,,,,,
05,70,,,,,,,,,,,,,,30,30,30,30,30,20,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,
07,40,30,30,40,40,35,35,30,30,25,25,25,35,35,35,35,35,30,30,30,20,20,,
08,,,,,,,,,,,,,,30,30,200,200,,,200,30,30,30,30
09,30,30,30,30,30,30,30,45,25,20,20,30,20,30,20,20,20,25,25,20,20,20,20,20
10,20,7,3,10,15,1,1,1,1,1,1,10,10,15,18,18,20,20,15,15,15,20,20,15
11,15,15,15,25,7,10,10,15,15,15,30,30,30,30,30,30,30,40,40,40,40,40,200,
12,,,200,,,,,,,,,,,,,,30,30,30,,,,,
13,,200,200,30,30,30,30,30,30,30,90,90,35,35,40,40,40,40,100,90,30,15,10,30
14,30,30,30,,,,,25,,,,,,,,,,,180,180,180,180,180,180
15,180,180,180,140,140,170,180,,,,,,40,,,30,120,120,120,120,120,200,200,200
16,200,200,,200,120,30,30,30,30,30,40,30,30,30,30,30,30,30,30,35,35,35,40,40
17,40,40,30,30,25,15,15,8,4,5,2,9,10,15,20,20,20,20,20,160,160,160,160,180
18,180,30,200,200,200,220,220,220,,,200,200,200,200,200,200,200,180,140,200,140,140,140,180
19,180,150,150,150,150,,,,200,200,,,200,200,200,200,200,200,200,30,30,50,30,40
20,80,70,10,15,200,200,,,,,,,,200,200,200,200,200,,,,,,
21,,,,200,90,90,90,50,50,45,35,30,15,5,5,5,10,15,30,30,15,15,15,15
22,15,40,40,40,40,40,40,140,140,10,50,40,,,90,80,80,70,50,40,40,40,10,10
23,10,40,30,40,40,20,15,5,10,30,25,20,20,20,25,28,25,25,25,25,25,25,,
24,,,,,,200,200,200,200,,,,,,,,,,,,200,200,200,
25,,,,,,200,80,70,70,70,70,70,80,80,80,30,30,110,90,200,30,40,100,110
26,110,120,100,80,50,50,35,25,25,15,15,40,45,65,70,30,30,30,30,30,30,30,,
27,,,,,,,,,,,,,,,,30,30,40,40,40,,,,
28,,,30,30,30,,,,,,70,70,40,45,40,45,30,35,30,30,30,60,60,60
29,60,60,60,180,170,170,170,150,130,110,40,40,40,15,15,35,45,45,45,40,35,40,40,40
30,40,20,20,20,20,20,15,15,15,10,10,8,4,6,6,35,40,,,,30,30,30,30
31,30,30,25,25,25,25,30,30,30,30,,,,,,,,,,,,35,,
