,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,9,8,1,1,3,10,10,10,10,15,15,15,40,90,170,180,200,200,200,200,200,180,200,200
02,200,200,,,200,200,,200,200,200,200,200,200,200,200,200,200,200,200,200,,,,
03,,,,,,,200,200,200,200,30,30,30,180,150,150,150,180,180,180,180,180,180,180
04,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,20,15,15,15,12,10,10,8,6
05,6,6,4,4,4,4,5,5,8,10,10,10,15,15,10,10,10,180,130,130,130,3,3,3
06,2,2,2,2,3,5,5,4,2,4,4,35,35,30,30,30,30,40,40,10,10,10,10,10
07,10,10,10,6,6,6,15,15,10,10,10,20,20,30,30,30,30,30,30,200,40,40,40,40
08,40,,,,200,200,200,200,200,60,50,40,40,40,40,90,90,180,180,180,170,170,170,80
09,80,45,45,45,45,45,45,45,45,40,40,30,30,30,30,30,30,30,30,40,30,30,20,15
10,25,15,14,13,12,11,8,15,40,15,30,30,30,30,30,40,40,40,40,40,50,60,60,70
11,120,130,60,50,50,60,60,40,50,50,50,35,35,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,200,200,200,200,,,5,,180,180,180,180,180,180,180,180,180,180,180
14,180,180,180,180,180,180,180,60,50,45,45,40,60,50,130,180,180,120,140,180,100,100,100,100
15,110,100,100,100,60,60,,,,,30,30,30,30,30,30,,,25,25,45,40,40,
16,,,,,,,,,30,30,30,30,30,30,30,30,150,150,200,200,200,200,200,200
17,200,25,40,40,40,130,7,9,10,10,20,20,30,30,180,180,180,180,180,180,180,160,160,200
18,90,90,40,40,40,180,30,50,50,30,20,15,15,10,30,20,30,30,10,10,10,10,10,30
19,30,15,12,12,13,15,15,10,10,20,20,25,25,25,25,25,40,40,40,40,30,10,8,8
20,6,6,3,3,3,2,2,5,10,35,35,30,30,30,30,30,30,30,30,3,1,1,5,5
21,5,5,5,5,1,1,1,2,10,15,15,15,30,20,40,7,20,10,4,60,50,3,12,12
22,,,,,,,,,,60,35,45,90,,,,,,,,,,,
23,80,80,80,80,80,80,,,,,200,200,30,30,30,30,30,30,30,160,200,,,200
24,200,110,110,,,,,,,,,,,30,30,30,,,,,,,5,5
25,5,5,4,7,180,2,1,1,3,,,,,,,,200,200,200,200,200,200,200,200
26,200,200,200,200,200,200,200,200,200,200,200,80,50,40,40,10,30,30,30,30,40,40,30,30
27,25,15,13,2,3,2,5,10,6,15,30,30,30,30,15,15,15,15,15,15,30,30,30,30
28,30,30,30,40,40,45,40,35,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40
29,10,5,10,15,3,5,5,20,7,10,10,15,15,25,25,40,35,35,40,150,150,150,150,150
30,,,,,,,,40,5,7,15,10,10,10,7,5,5,3,2,1,8,4,,
