,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,180,,,,,,,,,,200,200,40,45,40,15,30,30,40,40,,,,
02,,,,,,30,30,30,35,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30
03,25,18,15,15,7,7,7,5,5,5,5,5,3,2,2,5,4,10,10,15,15,30,30,30
04,,,,,,,,,,,,,,200,180,180,180,180,180,180,180,180,180,180
05,180,180,40,35,35,40,40,40,,,,,,200,180,200,200,200,200,200,200,200,,
06,,,200,140,40,40,120,,40,40,40,30,40,25,25,30,40,30,10,15,15,5,5,25
07,15,15,15,40,10,30,40,45,45,,,,,,,,,,,,,,200,200
08,200,200,200,200,200,200,180,200,200,,,,,,,,180,180,180,120,90,120,100,100
09,100,90,80,90,200,200,,,,,180,180,180,180,80,80,80,180,180,180,180,30,30,
10,,,,,,,,180,180,180,80,80,80,120,120,100,100,100,100,120,100,100,110,110
11,80,70,70,70,,,,,30,30,,,,,,,,,,,,,,45
12,50,50,30,30,30,30,30,35,25,25,,180,180,180,180,,180,180,180,180,180,180,180,180
13,180,180,180,180,180,,,,,,,,,,,200,200,200,200,,200,200,200,200
14,200,200,180,180,180,180,180,180,180,180,200,180,180,200,,,200,200,200,200,180,130,120,110
15,110,30,15,15,10,10,5,7,10,10,10,40,40,10,10,10,10,30,30,5,40,40,40,40
16,40,15,15,10,10,30,30,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,180,180,180,,,,
18,,,,,,,,180,180,180,150,150,150,120,100,100,100,100,100,90,90,90,80,30
19,30,15,15,15,15,5,5,5,5,3,3,5,10,10,10,10,40,70,70,30,30,40,40,40
20,35,30,30,40,40,40,40,40,40,45,25,25,25,30,30,30,,40,200,200,200,,,
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,180,180,180
23,180,180,180,10,10,10,180,180,180,180,180,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
25,1,2,1,1,3,4,3,2,3,5,5,180,180,180,180,180,180,,,,,,,
26,,,,,,,,,,200,200,50,200,200,200,200,200,200,200,150,140,140,130,120
27,120,110,110,120,110,110,110,200,200,120,120,40,100,40,40,110,80,180,180,180,180,180,130,130
28,130,130,70,70,70,7,45,45,45,,200,40,30,30,30,30,30,40,30,180,180,180,,
