,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,30,30,30,30,30,110,90,30,30,25,25,25,25,30,30,,,,,,
02,,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,
04,,,,,,,,30,30,30,80,80,80,120,30,25,25,20,40,40,40,40,40,40
05,30,30,,,,,,,,200,120,180,180,,,,,,,,,,,
06,,,180,180,180,160,180,160,180,180,,,,,,,,,,,,,,
07,,,,,,,,30,200,,,,,,,180,180,180,180,180,150,200,180,180
08,180,180,180,,,,200,,,,,,,,,60,180,,,,,,,
09,,,,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,160
10,160,120,110,110,110,40,40,40,40,40,40,40,30,40,40,40,40,40,40,40,40,35,30,30
11,30,30,35,35,35,35,35,30,30,30,200,200,30,40,30,150,30,30,30,30,30,30,110,120
12,100,80,90,80,80,70,80,90,90,80,120,40,40,50,50,40,40,50,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,35,35,35,30,30,30,30,25,1,1,2,2,25,25,25,25,25,25,25,25,20,20,20,20
15,20,30,30,25,200,,30,30,30,30,30,30,30,30,,,,,,,,,,
16,,,,,,,200,200,200,200,200,200,200,,,30,140,30,25,20,15,15,30,30
17,30,30,30,30,30,30,30,,,,,,,200,200,200,,,,,,,,
18,,,,,,,,,200,200,,,,,,,35,30,30,200,200,200,150,150
19,150,150,200,150,35,40,40,40,30,40,35,35,40,35,35,130,130,120,110,40,40,30,10,15
20,35,35,35,120,,,,,,,,,,,,,,,,,,,,
21,,,,,,,40,40,40,30,30,30,30,40,40,40,30,,,,,,,
22,,,,,,,,,,,,30,30,30,30,30,30,,,,,,,
23,,,,20,15,5,5,5,5,5,10,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,200,200,200,,,,
25,,180,180,180,180,180,180,180,180,180,180,180,180,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,200,,,30,30,30,30,25,25,25,30,35,30,30,30,30,40
28,30,40,40,40,40,40,35,35,,,,,,,,,,,,,,,,
29,,,,,,,,200,,,,180,180,180,180,180,200,200,200,200,200,180,180,180
30,30,30,30,30,30,130,130,,,,,,30,30,30,30,30,30,30,30,40,120,110,120
31,110,110,110,100,90,90,100,100,100,100,100,90,90,120,120,120,120,30,30,30,30,200,,
