,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,4,180,180,180,180,180,180,180,180,40,40,40,40,40,40,180,180,180,,,,,,
02,,5,4,5,1,1,1,1,5,12,12,12,30,30,30,30,30,,8,8,,,,
03,5,1,,,10,1,1,3,5,10,10,15,40,40,40,40,30,30,30,30,30,3,10,
04,,5,1,1,5,1,1,1,3,5,5,5,5,5,5,5,5,5,1,1,1,5,5,1
05,1,1,1,5,7,8,8,6,200,200,,,,,,,,,,,,,,
06,,,120,120,120,120,120,,,,,,,,,,,,50,50,80,80,80,80
07,80,80,80,80,200,70,70,200,200,40,30,45,45,40,30,45,45,45,70,70,70,70,70,70
08,70,70,70,70,70,70,70,70,70,70,140,30,40,45,40,45,45,45,50,50,50,50,50,
09,,,,,,,,,200,30,30,30,45,45,45,45,45,45,45,45,45,45,45,70
10,70,50,140,200,140,120,120,130,130,80,40,40,30,30,30,30,30,30,30,10,5,10,5,3
11,3,5,40,40,40,5,5,10,10,20,30,30,40,40,35,30,30,30,30,35,40,40,40,30
12,40,40,30,30,40,30,30,20,15,30,20,20,20,25,30,30,30,30,30,30,40,40,10,40
13,15,5,5,7,7,7,10,7,8,8,8,8,8,25,25,25,25,25,25,25,25,,2,1
14,1,1,1,2,3,3,6,7,12,12,12,12,12,,,,,,,,,,4,1
15,1,1,1,2,3,4,10,10,10,10,10,10,30,30,40,40,40,30,35,30,30,30,30,30
16,30,15,16,25,25,25,25,25,10,10,10,10,25,20,15,30,30,180,180,180,180,180,180,180
17,180,180,2,1,1,2,5,5,10,15,15,30,30,30,30,30,30,180,180,160,160,180,45,45
18,200,45,40,35,35,35,45,45,40,40,40,40,30,30,40,40,40,,200,40,40,200,200,200
19,200,,,,,45,45,,,,200,40,40,40,40,40,40,40,40,40,40,40,40,40
20,40,40,40,40,40,30,40,30,30,30,30,30,30,40,40,40,40,30,30,40,40,40,40,30
21,15,15,15,5,5,10,10,5,10,15,15,15,4,25,35,8,120,120,7,7,7,2,1,1
22,1,1,1,1,1,1,2,2,3,3,6,10,10,10,10,10,10,,,5,1,1,1,4
23,4,3,2,1,1,1,1,2,2,6,8,30,30,40,25,25,40,30,30,30,30,15,15,15
24,15,6,4,4,4,4,6,6,6,5,5,8,7,10,10,10,10,10,10,10,10,10,10,10
25,10,10,10,10,10,5,5,9,5,7,3,1,2,3,5,5,8,5,5,5,1,1,1,2
26,2,1,1,1,1,3,4,3,5,4,6,3,5,5,3,3,5,10,5,10,10,6,10,10
27,10,5,2,1,3,3,3,1,40,40,40,40,30,30,30,30,30,30,25,30,15,15,10,10
28,7,5,10,5,5,5,5,5,5,5,5,5,10,10,10,5,10,10,30,20,10,10,10,10
29,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,30,30,15,15,15
30,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,30,15,10,10,10,10,10
31,8,10,10,10,10,15,10,8,5,5,15,5,15,8,5,3,3,5,5,3,4,2,,
