,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,30,20,20,15,15,15,15,,,,,,,,200,200,200,200,200,200,200,200,200,200
02,,,200,200,200,200,200,200,200,200,200,15,200,180,10,180,180,150,150,140,140,140,130,130
03,130,130,130,130,130,130,120,130,130,100,,180,120,200,200,200,200,45,45,45,45,130,130,130
04,70,70,50,50,,,,,,,,,,,,,,,,,,,,
05,,,,10,5,15,30,20,25,25,25,25,30,30,30,30,,,,,,,,
06,,,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,30,30,30,30
07,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,200,,200,200,150,150,150,150,,,,,,,,,,,,,200,200
10,25,25,25,25,25,25,25,25,30,15,180,180,40,40,40,40,40,30,20,40,10,10,10,10
11,30,25,10,10,15,15,25,25,10,10,20,20,20,20,25,25,30,30,,,,,,
12,,,,,,,200,200,200,200,200,200,200,200,180,180,180,180,130,130,,200,200,200
13,200,180,180,180,180,170,170,100,100,80,25,25,25,15,15,15,30,30,30,30,30,30,30,30
14,30,80,,,,,,30,,,,,,,,,,,,,,,,50
15,40,28,28,30,30,20,30,30,20,15,15,30,15,30,30,30,15,7,7,40,30,30,45,45
16,,,,1,1,1,1,1,1,1,4,4,,,,,200,,,,200,200,200,200
17,200,180,140,140,140,190,170,30,30,30,15,15,15,15,10,10,8,8,8,5,5,5,10,10
18,8,10,10,25,15,20,200,30,30,30,25,30,25,30,35,35,35,35,35,40,40,30,30,30
19,30,30,45,45,45,45,45,45,45,50,45,45,45,30,30,30,30,30,40,,,200,,200
20,200,,,,,,,,,,,,,,,,,,,,,,,
21,,200,200,200,200,200,150,140,160,170,170,160,160,160,160,180,120,120,110,110,120,120,90,120
22,120,120,120,120,,130,130,130,130,,,,,,,,,,,,,,,
23,,40,40,40,40,40,40,40,180,200,200,200,200,200,50,50,50,50,130,130,140,140,140,
24,,140,140,120,120,200,30,30,30,45,45,25,10,10,3,3,3,10,10,30,20,20,20,20
25,25,25,200,200,,,,200,200,25,25,40,40,25,40,40,50,50,50,200,40,40,40,40
26,,40,40,200,200,30,30,40,40,40,45,45,45,45,45,40,45,45,200,200,40,30,30,30
27,30,30,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
28,200,200,200,200,50,50,50,50,50,50,50,40,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,30,30,30,30,180,180
30,180,160,150,150,140,140,140,140,140,130,110,110,120,120,120,100,90,90,90,90,150,50,,
