,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,4.1,4.1,3.9,4.0,4.0,2.0,3.7,5.0,6.1,7.4,7.5,8.6,8.6,8.0,8.5,8.6,8.1,7.4,6.5,6.1,5.8,5.5,5.3,5.0
02,3.8,4.4,3.9,4.0,4.0,3.7,4.1,5.7,6.5,7.5,8.0,8.8,9.9,10.2,10.7,9.5,8.5,8.2,6.6,6.9,6.8,6.2,5.8,5.6
03,5.6,5.2,4.2,4.0,3.3,3.0,2.4,5.3,7.7,8.3,9.8,10.1,11.3,10.9,10.6,9.2,8.7,8.1,7.0,6.9,6.4,6.0,5.9,5.5
04,5.3,3.5,4.2,2.0,4.4,4.3,4.9,6.2,7.7,9.4,11.0,11.8,11.4,11.1,11.5,10.7,10.1,8.9,8.2,8.2,7.6,7.7,7.4,7.4
05,7.1,7.5,7.5,7.9,8.2,8.0,8.3,9.0,10.1,10.9,11.8,13.7,14.3,14.4,13.8,13.2,12.4,11.0,9.8,9.0,8.3,8.1,8.2,7.4
06,5.3,6.7,4.6,4.8,4.7,5.0,6.1,7.2,7.8,8.3,8.7,9.0,9.8,9.7,9.8,9.5,9.4,9.8,10.3,10.1,9.7,9.9,10.0,9.2
07,8.8,8.0,6.8,6.4,5.8,5.2,5.9,7.5,9.9,11.7,13.1,14.7,16.0,17.5,16.3,15.2,14.1,11.9,10.7,10.0,9.9,9.1,9.1,7.7
08,8.8,8.5,8.0,6.4,6.7,6.8,7.5,8.8,10.4,11.1,12.1,13.2,13.8,13.9,14.1,11.6,12.1,10.7,9.5,9.7,9.1,8.4,9.5,8.5
09,7.9,8.5,6.6,7.1,7.6,7.2,8.1,10.9,11.5,12.2,13.0,14.2,13.5,14.6,14.0,13.0,9.6,7.4,6.4,6.6,6.5,6.1,5.4,5.1
10,5.1,4.8,4.7,4.9,4.8,4.9,5.2,5.6,6.3,6.3,6.0,6.8,7.3,8.0,8.9,9.0,9.9,9.1,8.7,7.4,7.0,6.9,6.9,6.5
11,4.5,5.1,4.8,4.0,4.3,3.7,5.2,7.0,8.2,9.0,11.4,12.0,13.0,12.4,12.1,10.8,11.7,9.9,9.1,8.9,8.6,8.2,7.5,7.4
12,6.8,6.7,5.4,6.3,5.4,5.3,5.2,9.8,10.8,12.2,13.4,14.3,13.5,14.5,13.9,13.7,11.4,10.6,9.9,9.3,8.6,8.2,7.6,8.0
13,5.4,6.1,5.2,4.9,4.9,5.7,5.9,8.0,9.3,11.7,12.1,14.2,14.5,14.8,14.8,14.5,13.5,12.8,11.8,9.9,10.3,9.2,9.5,9.2
14,7.6,5.9,6.8,8.2,8.1,7.4,7.3,7.5,7.6,7.5,7.8,9.3,11.3,12.2,12.8,11.0,10.9,11.9,10.7,10.0,9.9,9.5,8.8,8.3
15,8.0,6.7,6.8,6.6,5.9,5.7,7.3,9.8,10.9,10.9,12.5,13.9,14.7,14.0,14.9,14.2,13.8,12.9,11.2,10.4,8.3,9.6,9.3,8.6
16,6.5,5.9,6.4,5.0,6.3,5.9,7.2,10.5,12.2,14.0,16.1,16.9,17.5,18.7,17.2,18.8,17.6,14.4,12.9,13.0,12.2,11.0,11.6,10.0
17,8.6,9.5,7.5,7.7,7.9,7.2,9.2,11.4,14.6,16.8,18.0,17.3,17.1,17.3,18.4,17.2,15.9,13.7,12.1,11.6,9.7,9.4,10.6,10.7
18,9.1,8.8,8.1,8.3,9.7,8.5,10.2,10.9,12.0,12.4,13.0,12.8,14.3,12.3,12.1,11.6,10.9,10.5,10.5,10.5,9.5,8.6,8.9,8.8
19,9.1,8.7,8.6,8.9,9.5,9.2,9.5,10.0,11.4,12.8,13.8,14.1,15.7,17.1,17.7,18.2,17.4,16.1,13.9,13.3,11.9,11.2,10.7,11.9
20,11.4,10.3,8.8,9.8,8.3,8.5,10.9,12.0,12.5,13.3,14.3,15.1,16.0,16.1,15.9,14.2,14.2,12.6,12.9,11.7,11.1,11.3,11.0,11.1
21,11.1,11.1,10.7,10.4,10.2,10.3,11.0,11.0,11.0,11.5,11.7,13.2,14.0,15.0,16.0,15.5,15.5,14.5,12.1,10.3,10.1,10.4,10.3,9.7
22,8.6,8.4,8.4,7.6,7.8,8.8,10.1,12.1,14.7,17.3,19.3,21.2,21.5,23.4,23.0,22.0,18.7,16.8,14.9,14.6,13.1,12.9,13.5,13.9
23,11.6,12.6,11.8,12.2,12.0,12.5,13.1,16.6,18.8,20.5,21.8,22.2,21.0,19.9,20.4,20.5,20.2,16.9,16.0,16.8,13.9,14.4,13.7,13.5
24,13.4,13.4,13.4,13.7,13.7,14.0,13.3,14.6,17.3,16.3,18.8,19.4,20.4,20.4,19.7,20.2,19.3,15.8,13.8,14.0,12.9,12.7,12.1,11.1
25,11.0,11.0,11.1,11.6,12.3,13.0,13.9,14.8,16.5,17.2,16.0,14.7,13.8,13.5,13.0,11.4,11.1,10.0,10.1,8.9,8.3,8.1,7.8,7.9
26,7.7,7.5,7.5,7.4,7.7,7.3,7.4,8.1,8.2,8.0,8.1,8.5,8.9,9.5,9.4,9.3,9.8,9.9,9.9,9.5,8.9,8.6,7.7,6.9
27,6.4,6.5,5.8,5.6,6.2,4.1,6.9,9.4,11.3,12.4,13.2,13.5,13.8,13.9,13.4,12.5,12.9,11.4,10.7,10.3,10.4,10.5,10.6,10.9
