,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,1.0,2.5,3.5,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
02,,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,
05,,,,,,,,,,,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,4.5,8.0
12,2.5,3.5,12.5,9.5,7.5,3.0,0.0,0.0,0.5,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,4.5,4.0,0.0,3.5,10.5
13,0.0,4.0,1.0,3.0,2.5,5.0,1.5,0.0,0.0,,,,,,,,,,,,,,,4.0
14,1.0,0.0,0.0,,,,,,,,,,,,,,,,,3.5,0.0,,,
15,,,,,,,,,,0.0,0.0,0.0,0.5,1.0,0.0,0.0,,,,,,,,
16,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,0.0,17.5,6.0,0.0,,,,,,0.0,0.0,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,0.0,,,,,,,,,,,,,,,,,,
