,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,,,,,,,,,,,,,,,,,,,,,
02,,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,
05,,,,,,,,,,,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
11,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.0,0.0,1.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
16,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,0.0,,,
20,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.5,,0.0,,,0.0
21,0.5,0.0,0.0,1.0,0.5,0.0,,0.0,0.5,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0
25,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26,0.0,0.0,,0.0,0.0,4.5,13.0,7.5,18.0,7.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,,
27,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0
28,0.5,53.5,4.5,2.5,0.0,2.5,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,10.0,0.5,,,,,0.0,,1.5
29,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,
30,,,0.5,0.0,,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,
31,0.0,0.0,,,,,18.5,4.0,8.5,23.5,1.0,5.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,
