,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,,,,,,,,,,,,,,,,,,,,,
02,,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,0.0,0.0,,,,,,,,,,,,0.0,1.5,1.0,0.0,,,
04,,,,,,0.0,0.5,1.0,3.5,4.0,9.0,20.0,2.5,0.0,0.0,,,0.0,0.0,0.0,,,,
05,,,0.5,0.5,2.0,8.5,2.5,0.5,0.0,0.0,0.5,10.0,10.0,2.5,3.5,1.5,0.0,,,,,,,
06,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,3.0,0.5,0.0,1.5,0.0,0.5,2.0,0.0,0.5
07,0.0,0.0,0.5,0.0,,0.5,0.0,,,,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
10,0.0,0.0,5.0,13.0,20.5,10.0,0.5,0.0,,,0.0,1.0,5.0,7.0,0.5,11.5,8.0,4.5,0.5,10.5,33.5,18.0,2.0,1.0
11,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,0.0,0.5,14.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,4.5,3.5,4.0,1.0,0.0
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,
22,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
