,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,22,22,16,22,21,28,27,23,24,22,22,21,22,21,23,23,26,34,27,25,3,5,8,6
02,5,3,11,2,7,34,14,14,16,19,16,19,23,28,30,30,31,30,31,33,34,34,34,33
03,6,12,16,33,0,2,36,15,16,16,27,30,28,35,16,17,19,20,30,32,33,33,35,12
04,9,26,11,15,13,17,15,15,17,19,23,30,29,28,29,27,25,26,26,26,28,29,28,32
05,12,28,32,9,16,13,7,31,18,28,21,27,30,29,29,29,28,29,17,26,30,30,32,31
06,30,33,36,5,14,18,11,18,12,5,14,3,5,31,34,8,4,3,5,10,5,6,7,6
07,6,6,4,3,6,4,4,4,3,1,3,4,5,4,3,3,2,3,2,2,3,4,6,14
08,6,5,6,6,6,6,5,4,3,30,25,13,28,29,29,30,30,29,33,32,5,13,23,28
09,32,35,34,16,12,20,27,13,24,32,30,31,35,33,30,32,30,30,31,30,28,28,32,28
10,9,14,11,10,10,8,10,10,12,13,15,11,3,6,25,27,26,29,28,31,4,4,4,5
11,5,5,6,6,5,5,5,6,2,3,36,34,32,30,29,29,29,29,30,30,28,29,29,29
12,25,25,16,26,27,29,34,30,2,20,22,25,26,28,29,28,29,30,30,27,33,1,30,29
13,26,26,25,23,23,26,23,22,23,32,30,30,32,30,33,32,30,29,31,32,31,34,29,32
14,27,29,27,25,29,33,30,31,33,2,30,30,30,30,29,29,29,30,30,30,29,31,31,30
15,30,31,32,34,33,32,33,35,32,33,33,32,28,29,28,27,28,32,34,4,5,3,3,1
16,3,4,3,5,5,5,5,5,5,4,27,29,29,28,28,27,28,30,32,29,32,27,24,21
17,22,26,29,18,21,22,19,23,22,22,23,22,24,25,27,28,28,25,26,26,0,24,23,8
18,14,19,24,22,15,14,9,7,13,16,17,17,20,22,22,21,22,22,24,21,19,22,21,22
19,21,23,23,23,26,24,23,22,25,23,25,36,31,23,26,29,29,28,30,29,29,29,30,32
20,27,30,29,24,26,25,26,27,29,30,28,30,31,28,29,29,27,29,28,31,30,30,29,29
21,30,26,29,27,24,23,25,27,31,30,30,30,28,29,29,29,29,29,31,31,29,32,3,6
22,4,5,5,5,7,6,6,6,5,3,3,3,30,30,30,30,30,30,29,29,31,33,35,5
23,5,5,5,10,4,6,5,5,4,11,30,29,30,29,29,28,30,30,29,30,29,30,30,31
24,29,29,29,28,0,14,24,14,15,15,19,24,22,25,25,26,29,25,27,27,26,26,28,29
25,36,22,15,17,25,24,31,2,20,1,32,30,31,30,29,29,30,30,30,33,32,31,29,32
26,5,11,15,2,7,5,5,4,4,6,7,5,5,19,26,28,19,29,30,30,33,34,14,3
27,15,16,1,1,36,5,36,8,15,28,30,30,30,28,27,27,28,28,29,25,24,28,13,5
28,24,9,10,16,18,22,22,17,5,10,21,15,22,25,23,30,27,30,25,27,25,24,24,22
29,15,21,23,20,19,23,24,24,10,14,13,11,9,14,17,16,15,29,33,31,33,32,31,30
30,31,30,31,28,27,27,34,24,24,22,23,23,18,22,22,22,22,22,23,22,23,23,,
