,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,31,33,32,7,4,2,7,6,7,10,32,31,31,34,31,31,31,32,32,32,33,35,35,36
02,1,2,2,6,14,16,31,32,5,2,34,33,31,29,31,32,32,26,28,30,35,33,1,36
03,6,0,15,33,1,1,2,10,14,2,3,35,34,30,2,29,30,25,28,5,35,5,6,10
04,14,10,6,6,9,7,6,6,5,6,15,17,18,21,23,24,19,11,13,23,33,33,33,32
05,34,33,34,32,32,34,35,36,35,34,33,32,32,33,32,32,32,30,32,35,36,35,35,3
06,3,2,3,3,15,8,3,8,7,3,4,32,29,29,29,30,29,29,36,7,12,14,13,5
07,28,33,4,10,10,4,16,15,6,6,5,32,33,33,29,28,24,25,23,33,34,36,32,31
08,34,34,35,35,1,3,3,30,32,32,33,33,32,32,31,31,31,31,32,34,34,34,35,34
09,33,35,35,3,4,11,6,6,6,5,5,3,1,32,32,29,31,31,31,35,1,6,35,5
10,2,1,36,2,14,10,9,10,11,13,14,16,17,20,18,18,19,17,19,25,22,11,12,16
11,15,15,14,11,6,8,9,6,5,4,4,19,13,31,31,31,33,31,32,35,4,3,4,6
12,4,30,7,33,4,36,5,5,4,5,1,31,27,29,29,29,30,30,35,35,30,34,31,31
13,32,34,3,6,9,4,28,30,3,5,5,36,35,29,29,30,29,29,29,29,30,1,2,5
14,4,0,6,5,5,5,5,8,13,14,13,13,14,16,17,21,23,11,35,1,5,13,4,2
15,35,33,32,32,32,35,31,27,33,34,33,33,31,30,32,30,31,31,31,32,32,32,33,33
16,34,35,35,36,32,36,35,3,2,33,29,31,32,30,33,31,28,24,19,19,22,26,28,30
17,30,29,28,33,33,33,32,32,32,33,31,34,34,32,30,29,27,26,30,34,32,30,33,36
18,31,30,2,3,33,5,14,7,7,14,15,16,14,14,19,25,24,9,14,13,8,13,14,14
19,10,12,10,12,12,13,13,14,14,15,15,14,15,16,23,22,24,1,35,31,35,32,31,32
20,32,32,31,32,32,33,33,33,32,33,33,32,32,32,30,30,30,31,32,32,34,34,31,31
21,32,14,13,13,13,12,14,14,15,17,26,25,24,24,24,24,25,25,27,27,29,30,30,23
22,23,19,16,15,17,23,24,5,13,14,20,22,25,24,24,25,23,22,22,25,24,24,25,26
23,26,24,23,5,2,27,34,30,31,30,30,33,29,33,31,32,31,31,33,33,34,34,33,34
24,33,32,32,35,33,32,33,3,6,33,2,34,26,31,28,28,28,29,25,24,31,20,1,33
25,32,32,32,34,32,32,31,32,31,33,33,33,32,33,32,32,33,33,33,33,34,35,35,35
26,35,34,34,34,34,34,35,35,35,35,35,33,32,31,30,29,31,31,32,36,36,34,33,30
27,32,36,36,3,26,6,11,12,13,14,15,16,18,18,21,21,25,24,22,22,22,23,22,24
28,25,27,27,25,28,28,33,34,33,33,32,31,31,30,30,31,31,31,34,34,34,35,1,2
29,33,31,30,36,4,6,7,5,12,14,19,17,1,35,28,24,25,27,29,36,4,4,8,3
30,9,7,9,6,4,10,10,3,4,15,15,14,16,18,30,24,33,4,34,33,31,36,32,33
31,33,34,34,33,33,33,34,32,32,33,33,33,33,32,32,33,33,33,32,32,32,34,,
