,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,33,32,24,0,30,28,25,15,11,29,3,29,28,28,28,28,25,25,27,31,33,3,4,16
02,15,21,36,30,6,3,3,12,4,4,3,1,35,31,30,30,31,32,30,29,32,33,32,33
03,34,0,29,36,4,35,4,6,4,4,3,35,31,32,28,28,29,31,29,32,32,30,33,33
04,30,24,29,30,32,34,0,1,5,2,30,30,30,28,28,28,28,29,30,27,26,26,25,25
05,24,23,23,23,21,12,21,14,15,15,17,17,17,18,23,23,24,24,24,12,13,16,13,15
06,14,15,13,16,2,11,14,2,29,34,32,35,32,6,30,29,29,29,28,1,36,32,32,32
07,33,32,32,33,24,34,33,30,33,33,32,31,33,30,28,25,27,27,28,31,31,32,32,31
08,33,33,32,32,31,11,13,13,15,17,17,19,24,27,29,29,27,27,28,29,36,25,23,16
09,15,15,10,5,5,7,11,5,4,4,16,20,25,24,30,30,30,31,27,34,24,4,2,4
10,4,5,5,4,4,5,4,4,4,4,4,5,3,4,4,29,32,30,29,30,30,35,32,5
11,5,36,4,33,28,29,28,0,28,25,26,26,24,25,28,34,25,33,32,31,30,33,29,27
12,29,24,27,25,23,17,17,22,21,24,33,30,30,31,30,29,29,32,32,32,31,30,31,31
13,31,31,30,29,28,27,27,27,30,31,31,30,29,28,28,28,27,28,27,29,28,29,30,30
14,32,31,30,30,31,13,14,17,21,21,22,19,18,20,23,18,15,19,18,21,22,24,29,32
15,16,26,8,16,18,15,15,15,15,15,14,13,21,14,13,26,33,28,30,1,35,34,34,31
16,33,31,34,2,31,33,23,24,29,21,22,23,22,25,27,27,26,25,26,22,22,21,22,23
17,0,22,31,5,0,31,36,31,33,33,33,32,31,29,25,24,25,24,23,24,25,25,26,32
18,20,13,16,17,13,13,14,13,14,15,17,16,19,24,27,30,31,33,1,3,8,12,12,13
19,6,10,9,1,11,11,13,14,15,15,16,18,20,23,23,23,23,22,23,21,11,21,13,11
20,15,13,13,6,5,6,5,5,5,6,5,5,4,16,10,9,7,11,9,8,8,10,12,11
21,15,21,22,25,29,30,30,27,27,29,29,27,28,29,29,31,30,33,33,33,32,33,32,32
22,32,34,35,35,34,35,35,34,32,34,33,33,32,32,33,32,30,29,30,31,32,33,33,32
23,34,28,33,24,13,17,24,22,23,23,22,28,31,34,33,31,30,31,33,32,32,31,30,30
24,30,30,29,31,30,30,29,29,31,30,28,25,25,27,25,25,24,23,22,21,19,21,19,19
25,14,15,14,15,15,15,15,15,15,15,17,19,21,21,21,21,21,21,21,19,17,19,15,18
26,18,16,19,21,23,23,24,35,5,28,29,29,28,28,26,23,23,24,35,29,33,33,23,14
27,14,15,15,17,18,19,18,18,19,19,21,21,21,21,21,22,23,23,22,21,26,21,23,25
28,23,31,35,33,31,34,33,34,35,34,32,33,30,30,29,28,28,26,28,25,27,30,33,33
29,1,4,3,36,2,3,2,5,4,2,33,28,29,29,29,28,29,29,31,30,28,29,29,31
30,32,31,35,35,28,25,19,25,22,22,22,21,23,28,27,27,27,28,29,28,28,29,30,32
31,31,31,32,31,31,31,31,32,31,30,32,31,30,30,30,29,28,28,29,31,31,30,,
