,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,3,4,5,6,5,6,5,5,4,4,4,14,13,13,15,15,19,25,23,24,25,30,10,9
02,4,4,6,5,5,5,6,5,6,11,12,12,12,9,7,7,8,6,6,6,6,5,4,4
03,3,3,2,36,36,34,33,33,33,34,32,32,32,32,29,28,27,27,25,3,9,11,13,15
04,15,15,16,13,15,13,15,15,16,17,18,18,22,17,24,22,24,26,26,23,24,22,22,21
05,20,31,3,31,28,30,31,34,35,32,33,30,29,33,35,36,3,3,4,4,5,4,5,6
06,5,5,5,5,6,6,6,6,6,10,11,12,12,14,14,12,13,13,12,12,14,15,15,14
07,14,15,15,13,11,11,9,10,10,12,11,11,11,5,2,1,3,36,35,36,36,36,36,32
08,32,33,30,31,30,30,31,29,33,34,33,32,33,33,33,32,33,33,32,32,33,35,33,32
09,35,29,8,9,6,10,14,7,5,1,32,34,30,29,30,30,28,29,32,29,2,4,11,13
10,5,5,5,6,7,5,6,6,5,5,15,14,15,16,32,31,31,31,34,34,2,17,5,2
11,1,9,3,5,8,9,4,4,4,4,6,3,4,2,3,34,31,2,3,4,5,5,5,6
12,5,5,4,5,4,4,5,5,5,5,5,4,6,5,6,8,7,6,5,6,4,6,6,6
13,6,5,5,6,6,6,6,6,6,6,5,8,3,2,2,33,31,32,31,36,35,35,33,4
14,1,8,36,4,34,32,32,32,34,32,32,34,32,32,31,32,33,34,34,34,35,36,36,36
15,36,36,1,4,5,6,6,6,5,6,12,12,36,33,34,32,32,32,34,35,34,35,36,10
16,8,4,5,5,6,10,7,5,5,5,4,2,35,31,30,30,29,30,32,30,30,31,32,4
17,4,4,2,10,8,8,5,5,5,5,5,3,5,3,6,29,30,30,1,3,4,13,9,8
18,5,5,5,6,8,6,5,6,5,4,4,4,5,12,13,14,14,13,10,4,4,5,7,8
19,6,6,6,6,6,6,6,6,6,4,1,34,30,30,29,29,29,28,27,27,28,30,30,33
20,35,4,2,6,5,6,8,6,4,4,3,7,16,27,29,27,29,31,32,32,33,1,3,3
21,4,7,6,4,4,3,4,6,7,5,5,31,33,31,32,32,30,32,33,28,28,36,1,33
22,10,7,6,6,6,9,10,9,5,7,11,15,15,31,29,30,30,30,31,32,34,36,6,4
23,4,5,7,7,6,6,7,6,5,4,5,10,11,12,12,9,5,6,6,5,4,4,5,5
24,5,5,5,5,5,5,5,5,5,4,5,5,8,7,8,4,3,3,2,5,4,4,6,5
25,6,6,4,3,6,5,4,4,5,5,4,28,29,29,28,27,28,29,29,32,32,31,31,31
26,31,32,32,33,35,1,1,1,35,34,33,31,31,29,29,29,29,30,31,26,35,35,34,35
27,1,1,5,10,7,11,10,10,8,13,16,23,26,28,30,26,27,26,26,26,25,24,22,21
28,22,22,26,11,11,11,19,15,14,15,18,17,17,19,20,20,19,19,19,19,24,29,27,31
29,31,30,29,28,29,30,29,28,28,30,33,30,30,31,30,30,30,30,32,35,36,35,1,36
30,3,33,9,13,14,10,6,6,14,16,16,16,24,26,27,28,25,25,25,24,23,22,23,22
31,22,21,25,12,13,13,14,14,15,15,15,22,21,22,23,23,22,23,24,24,25,28,,
