,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,30,30,30,31,31,33,31,33,33,34,34,29,28,25,25,26,24,24,25,25,27,28,30,32
02,30,27,28,29,30,27,29,33,32,33,30,29,28,27,28,26,26,27,26,30,30,31,28,29
03,28,30,2,34,6,9,5,5,14,18,28,29,29,28,27,26,25,25,27,28,28,28,29,28
04,22,17,20,15,18,16,17,18,16,19,21,22,22,22,21,22,21,21,20,21,20,19,18,19
05,19,20,19,21,21,22,24,27,28,29,28,27,27,27,25,27,27,27,29,29,28,30,33,30
06,33,30,19,14,6,10,15,15,15,19,14,14,36,4,4,5,6,5,6,4,5,6,6,5
07,4,3,4,4,4,4,3,4,2,1,33,4,34,33,30,29,29,29,30,31,32,31,31,34
08,31,31,36,34,32,31,32,31,32,33,31,30,30,25,28,25,25,25,26,28,30,36,1,2
09,7,9,13,13,7,5,5,5,10,8,9,10,11,6,7,8,11,7,7,6,6,6,6,6
10,5,5,5,4,5,6,6,2,1,36,36,1,4,3,35,34,32,33,29,28,30,30,25,30
11,29,3,7,0,13,14,13,16,15,14,31,29,30,28,26,25,27,26,25,25,28,32,29,31
12,24,25,19,21,24,21,16,19,33,33,29,28,25,26,26,27,24,25,27,28,24,23,22,21
13,13,14,14,15,15,14,14,15,14,19,17,21,23,23,22,23,25,29,27,2,3,33,0,1
14,13,16,16,16,24,22,23,23,20,23,25,27,27,25,28,28,27,31,32,33,32,31,30,31
15,28,29,29,28,33,32,30,19,18,23,21,23,22,23,21,21,22,22,19,19,15,17,15,15
16,15,15,14,14,13,14,14,14,15,15,13,20,18,31,31,32,31,32,34,35,2,36,33,5
17,10,3,13,14,13,9,14,20,22,27,23,22,21,31,30,28,29,30,32,26,17,18,17,16
18,15,16,18,16,18,14,16,16,18,19,21,21,21,21,21,23,24,24,28,34,30,33,13,16
19,30,33,2,6,5,2,4,4,4,4,6,3,4,3,3,4,32,32,30,29,32,32,1,16
20,14,14,14,18,15,15,18,17,22,22,24,22,30,22,23,28,33,24,35,34,32,34,26,28
21,23,28,31,31,33,19,33,32,30,33,30,25,30,28,21,24,26,30,28,32,32,26,32,1
22,10,16,14,13,4,5,14,5,2,13,3,3,31,27,31,31,29,29,30,31,32,31,28,13
23,14,35,35,1,5,7,3,3,13,9,7,33,32,34,32,31,31,24,24,26,32,30,32,35
24,36,2,13,3,36,3,33,32,35,33,32,29,29,28,26,27,26,24,23,24,23,23,12,16
25,15,9,11,8,14,2,8,5,5,9,12,11,6,11,13,5,9,15,19,24,23,24,23,24
26,24,22,22,21,18,15,15,15,15,5,5,5,5,4,4,5,5,4,3,3,2,2,5,9
27,14,10,21,13,8,34,5,1,3,29,33,33,30,29,28,29,28,30,30,27,31,30,33,33
28,29,21,25,36,33,4,5,10,20,23,20,23,29,23,22,30,31,30,32,32,32,31,30,32
29,1,6,8,6,6,6,5,5,5,3,3,2,5,33,34,33,32,34,33,36,32,16,34,31
30,2,34,8,5,4,4,5,5,4,2,34,29,29,28,28,28,29,30,30,30,30,30,,
