DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1022.7,5.0,6.7,3.1,1.8,79,60,5.5,16,32,21,32,7.8,3.0,,200,6,SC,20
2,1023.2,0.9,3.6,-2.5,-7.4,54,35,11.0,20,32,30,33,3.8,0.0,,,6,SC,30
3,1025.4,1.9,6.3,-4.6,-2.8,71,61,4.9,13,35,21,34,5.5,1.0,,450,6,SC,20
4,1029.5,2.0,6.4,-2.2,-6.9,52,34,6.0,17,35,23,34,1.5,0.0,,,6,AS,70
5,1037.1,-3.7,0.3,-7.7,-14.7,42,32,11.5,18,31,25,31,0.3,,,,,,
6,1037.0,-5.4,-1.7,-9.6,-14.1,50,40,4.8,9,36,14,29,0.0,,,,,,
7,1029.9,0.5,4.6,-5.5,-3.3,75,63,4.9,11,12,15,13,4.2,0.0,,400,7,SC,25
8,1029.2,0.0,4.9,-4.3,-5.1,69,51,3.7,6,35,9,13,0.8,,,450,,,
9,1022.6,5.5,10.3,-0.2,0.6,71,61,11.9,17,15,22,18,6.4,,,600,5,SC,20
10,1019.1,7.3,10.2,3.6,5.4,88,74,5.5,13,19,21,20,6.9,5.0,,5,7,ST,1
11,1018.2,6.8,11.4,0.6,0.7,66,46,13.5,23,29,30,29,3.9,,,90,6,SC,20
12,1029.2,-0.2,2.4,-3.0,-8.4,54,38,7.2,17,33,23,33,0.2,,,,,,
13,1026.7,3.6,9.1,-2.4,-2.7,64,49,11.1,16,19,24,29,5.4,1.5,,400,6,SC,25
14,1028.4,2.7,8.9,-0.3,-4.3,60,45,10.0,20,32,29,32,2.4,,,300,7,SC,30
15,1029.2,3.6,10.5,-1.8,-2.1,68,39,4.8,9,14,13,15,2.6,,,600,4,AC,120
16,1022.9,7.4,12.6,0.9,1.6,68,51,5.8,11,14,14,14,5.8,,,600,5,SC,30
17,1016.2,7.5,11.1,2.6,4.4,81,69,12.0,17,30,21,30,6.7,8.0,,200,6,SC,20
18,1024.7,0.5,2.6,-1.8,-5.9,63,53,9.7,16,33,20,32,3.4,,,,5,AC,140
19,1026.9,-0.5,2.5,-3.4,-8.8,54,37,5.5,12,33,16,33,3.1,0.0,,300,6,SC,30
20,1030.1,-1.4,0.9,-4.7,-8.9,58,38,6.0,11,35,19,33,1.0,0.0,,,6,AS,70
21,1027.4,0.1,3.8,-5.4,-3.6,77,57,8.2,16,15,19,15,5.2,3.0,,200,8,SC,20
22,1021.0,4.3,8.0,-0.3,0.1,75,60,5.4,13,15,17,15,5.8,3.0,,400,5,SC,25
23,1022.5,3.4,6.7,-1.1,-0.2,78,65,8.3,14,24,23,25,3.3,1.5,,300,5,SC,20
24,1027.8,0.3,4.9,-2.9,-4.5,71,42,5.0,11,4,16,4,0.4,,,350,,,
25,1024.3,1.7,6.3,-2.8,-3.1,71,49,4.1,8,5,12,30,5.0,,,300,6,AC,70
26,1018.7,2.2,4.3,-1.8,-3.0,68,57,9.0,18,31,27,30,5.7,0.0,,350,5,SC,25
27,1025.2,-1.0,2.3,-4.8,-8.8,56,36,6.0,14,32,20,31,0.4,,,,,,
28,1028.2,2.1,5.6,-3.3,-4.1,64,52,9.1,15,15,19,14,3.5,,,800,7,SC,35
29,1025.6,4.5,7.2,1.0,-2.5,62,42,6.1,10,14,14,16,7.7,1.0,,400,5,SC,35
30,1024.3,2.4,6.7,-6.0,-2.6,71,39,11.0,26,32,34,33,5.8,0.0,,250,5,SC,20
31,1035.4,-6.8,-4.1,-9.3,-14.8,53,43,11.3,20,32,33,33,1.9,0.0,,800,8,SC,30
