DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1010.9,16.4,19.7,13.5,10.7,70,52,5.3,13,22,21,20,5.7,,,150,7,ST,1
2,1008.4,18.7,24.1,12.2,8.9,56,25,4.4,9,23,20,24,1.5,,,600,5,CI,200
3,1008.4,20.0,26.0,14.7,11.1,59,22,5.5,17,18,21,18,1.5,,,,5,CI,180
4,1009.8,19.3,24.4,14.9,12.7,67,45,7.1,12,15,19,24,4.3,,,900,6,ST,6
5,1012.3,18.3,21.7,16.4,14.4,78,65,5.3,13,28,22,28,6.0,,,150,5,ST,3
6,1010.3,18.7,22.5,16.3,15.5,82,71,6.1,17,3,24,3,8.0,5.5,,35,6,ST,2
7,1003.6,19.8,24.5,16.5,14.2,72,52,12.3,19,4,27,6,5.5,24.5,,370,6,SC,20
8,1008.5,20.0,24.8,15.8,12.4,62,42,6.0,11,30,16,29,5.0,,,,4,AC,90
9,1006.1,19.4,22.9,16.9,13.8,71,60,5.3,13,30,17,30,6.6,0.0,,700,7,SC,20
10,1007.1,19.0,22.3,16.1,12.9,68,56,6.6,11,5,15,4,6.8,0.5,,600,5,ST,11
11,1009.4,18.9,23.3,15.1,10.2,58,40,8.4,13,29,17,30,1.8,,,,5,SC,50
12,1010.9,19.5,24.0,15.9,13.0,67,49,5.3,12,26,17,23,0.0,,,,,,
13,1010.5,20.4,25.6,15.8,12.2,61,37,4.5,10,29,14,30,3.2,,,800,5,CI,180
14,1006.3,20.4,24.9,17.5,13.7,67,43,5.5,12,30,16,27,6.3,,,,5,SC,50
15,1001.3,21.0,24.4,18.0,13.7,64,49,9.7,18,28,28,27,2.0,,,600,5,CI,180
16,1007.0,20.6,25.4,17.3,12.3,60,41,7.3,16,28,21,28,2.3,,,,5,CI,200
17,1012.3,19.4,22.9,16.6,13.2,68,52,6.7,11,23,19,26,4.9,0.0,,700,8,AS,110
18,1010.7,20.1,23.1,17.1,14.8,72,51,7.7,14,18,22,22,7.0,5.0,,300,5,ST,15
19,1008.2,20.4,24.8,18.3,15.9,76,61,6.5,13,28,18,28,6.5,,,350,6,SC,20
20,1007.7,20.8,25.0,18.3,16.0,75,53,5.6,12,29,18,29,5.9,,,25,6,SC,20
21,1006.6,20.3,24.5,17.5,16.2,78,58,6.4,12,29,17,30,4.7,,,15,5,ST,3
22,1006.8,22.2,27.4,16.9,13.2,59,39,8.2,12,5,16,5,0.3,,,,,,
23,1008.6,23.1,27.2,18.2,11.0,48,33,7.3,14,30,21,29,1.2,,,,,,
24,1012.3,22.4,26.9,17.9,14.6,63,42,6.5,12,28,18,26,0.6,,,800,,,
25,1014.8,22.3,27.7,17.5,14.7,64,43,5.3,12,29,16,29,2.1,,,10,5,CI,200
26,1008.9,22.8,27.8,19.1,15.1,63,46,3.8,9,19,15,26,6.6,0.0,,600,4,SC,30
27,1001.3,23.2,28.0,20.5,17.5,71,58,5.3,12,29,15,28,6.3,0.0,,90,5,ST,13
28,1002.3,22.8,27.5,20.6,16.2,67,52,4.6,13,28,19,27,6.8,0.0,,600,5,SC,30
29,998.4,22.6,26.6,19.8,17.5,74,56,5.3,10,16,15,13,6.5,1.5,,250,5,SC,20
30,1000.8,21.8,24.2,19.7,17.7,78,69,7.7,14,22,25,22,5.3,0.0,,110,6,SC,20
