,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,7,7,7,7,7,7,7,7,5,6,6,5,5,4,3,2,2,1,0,0,0,0,0,0
02,0,2,6,6,7,7,6,7,7,4,4,3,2,1,1,1,1,0,2,2,0,0,0,0
03,2,3,0,0,3,6,6,5,7,5,6,6,7,7,7,7,8,7,7,6,3,4,4,0
04,0,3,6,6,4,6,7,7,6,2,2,2,2,2,3,4,5,6,6,5,5,5,5,5
05,7,7,7,7,7,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06,0,0,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5
07,3,3,4,4,4,6,6,4,4,3,4,7,7,7,7,7,7,7,7,5,5,7,7,7
08,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,7,6,4,4,3,3,3,1,0
09,0,0,0,0,0,0,0,0,2,4,5,4,6,6,5,5,7,7,7,7,7,7,7,7
10,7,7,7,7,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6
12,7,6,6,7,7,6,3,5,5,4,5,5,5,4,5,6,6,5,5,5,5,6,7,7
13,6,8,8,8,8,8,8,8,8,8,8,8,8,7,7,2,2,2,2,2,2,0,4,4
14,4,4,4,4,4,5,6,6,6,6,6,6,4,0,0,0,0,0,0,0,0,0,2,4
15,4,4,5,5,5,5,6,8,8,8,8,8,8,8,7,7,5,5,7,7,6,6,6,5
16,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,3,3,2,5,7,7,7,7,7
17,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,6,7,7,6,7
18,7,7,5,5,6,7,7,5,2,2,2,3,3,3,2,2,2,0,3,5,5,5,4,3
19,1,0,0,0,0,1,1,0,0,0,2,4,5,6,6,6,6,6,6,7,7,7,7,7
20,7,7,7,7,6,8,7,8,8,8,7,7,7,7,6,7,7,8,7,7,7,7,7,8
21,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8,6,4,6,4,4,5,5,5
22,5,5,6,6,6,6,6,6,6,6,5,4,4,4,4,2,2,0,0,5,7,7,7,7
23,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
24,7,8,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
25,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
26,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8,7,7,7
27,7,7,7,7,7,7,7,7,4,2,2,2,4,3,3,2,2,3,4,5,7,8,8,8
28,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8
29,8,8,8,8,8,8,7,7,8,8,8,8,8,7,7,7,7,7,8,8,6,6,7,7
30,6,7,8,8,8,8,8,8,8,7,7,7,8,8,8,7,8,8,8,8,8,8,8,8
31,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,
