,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,3,0,0,0,0,0,0,0,0,0,2,3,5,4,6,6,6,4,5,2,0,0,0,0
02,0,0,0,0,0,3,3,7,7,7,7,7,7,7,3,2,6,6,7,8,8,8,8,8
03,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,5,4,2
04,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,7,7,7,7,7,7,7,7
05,7,7,2,4,5,5,3,1,0,0,0,0,0,2,3,6,6,3,3,2,2,2,0,0
06,0,0,4,7,7,7,3,0,5,5,3,6,4,6,7,8,8,8,8,8,8,8,8,8
07,8,8,8,8,8,7,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
08,4,4,4,5,3,4,7,5,2,0,0,0,0,0,0,0,2,4,6,7,7,7,7,7
09,7,7,7,7,3,2,0,0,0,0,2,3,4,5,6,6,6,2,2,2,3,4,1,0
10,0,0,0,0,0,0,0,4,7,7,7,7,7,7,7,7,8,8,8,7,7,7,7,7
11,6,6,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2,3,6,5,6,6,6,6,5,3,0,2,5,7,4,0,2,4,5,5,5,5,5,5
13,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,4,7,8,8
14,8,8,8,5,5,5,7,6,6,5,3,4,2,1,0,0,2,4,5,6,7,8,8,8
15,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,5,4,7,5,6,6,6
16,7,7,7,7,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
18,0,0,0,0,0,0,0,3,2,4,6,6,6,6,7,7,8,8,8,8,8,8,8,8
19,8,8,8,8,8,8,8,8,8,8,8,8,8,7,3,5,6,7,4,4,5,3,6,6
20,6,6,7,6,6,6,6,7,7,7,7,7,3,5,3,3,0,3,3,3,2,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,3,5,4,5,5,5,6,6,5,3,2,2,2,4,5,6,7,7,7,7,7,7
23,7,7,7,7,7,7,5,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,8,8,8,8
25,8,7,7,7,6,6,5,7,6,6,5,5,5,6,5,5,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,2,2,4,5,5,2,1,6,6,6,6,6,6,6,6
27,6,6,6,6,7,6,4,2,2,4,5,6,5,6,6,5,7,7,7,7,7,7,7,7
28,7,3,1,2,2,3,1,2,2,0,2,5,5,5,5,5,7,7,7,7,7,2,,
