,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,8,8,8,8,7,7,8,7,8,8,8,8,7,7,7,5,5,5,3,5,5,7,7,7
02,7,7,7,7,7,7,6,5,3,3,3,5,5,4,2,3,2,1,1,3,3,0,0,0
03,0,0,0,0,0,1,0,2,3,3,3,3,2,2,2,2,3,3,2,4,3,7,7,7
04,7,6,6,6,7,7,3,2,2,2,4,4,3,5,5,5,3,5,6,6,6,5,4,5
05,4,3,3,2,2,2,2,0,0,0,2,3,2,2,2,2,2,3,4,3,4,3,4,4
06,4,3,3,2,0,3,5,4,3,1,1,4,6,6,6,7,8,7,5,7,6,7,7,7
07,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,5,5,5,5,5,7,7,7
08,7,7,7,7,7,6,6,6,6,6,7,6,6,6,7,7,7,6,5,5,7,7,7,7
09,7,5,5,6,3,3,3,5,4,4,5,4,3,1,0,0,1,2,2,1,1,2,2,2
10,2,4,6,6,6,5,7,7,4,5,6,5,5,4,6,6,6,6,6,6,4,2,3,3
11,4,4,5,5,4,6,6,6,7,6,5,2,3,2,3,5,8,8,8,8,8,8,8,8
12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8
13,8,8,8,8,8,8,8,8,7,6,6,6,5,4,3,4,1,1,6,6,5,7,7,7
14,8,7,7,7,3,5,1,1,1,3,3,3,3,5,6,6,6,5,6,8,8,4,3,3
15,3,3,5,5,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,7,6,4,5,5
16,5,5,8,8,8,8,7,6,7,6,5,4,4,4,2,0,0,0,0,0,0,0,0,2
17,4,5,6,7,5,5,1,7,7,6,3,4,4,3,2,1,2,2,1,0,2,0,0,0
18,0,0,7,5,3,2,1,1,2,3,5,5,4,4,3,1,1,0,0,0,3,0,1,2
19,3,3,5,6,5,2,3,4,7,7,6,4,4,3,2,1,1,1,2,1,0,0,0,0
20,0,2,1,2,0,2,1,0,0,0,3,3,3,4,5,4,3,3,3,2,3,3,1,6
21,7,6,6,7,5,5,7,7,7,5,5,5,7,7,7,8,8,7,8,8,8,7,6,5
22,4,3,4,5,6,7,7,7,7,6,5,5,3,2,3,3,1,1,1,7,7,7,7,7
23,7,7,7,4,5,4,6,5,4,5,4,4,3,3,3,3,3,1,1,1,0,2,3,3
24,3,3,6,6,6,7,7,7,7,7,7,7,7,7,6,3,1,0,2,0,1,0,0,0
25,0,0,0,2,2,3,1,1,2,2,3,3,1,2,1,0,0,0,0,0,0,0,4,4
26,2,1,0,0,0,2,3,4,5,6,6,4,3,4,1,3,4,5,7,8,8,7,7,7
27,8,8,8,8,8,8,8,8,7,7,7,7,6,7,6,4,2,1,0,2,4,5,5,5
28,5,5,6,6,6,6,5,4,6,4,5,3,3,1,1,3,2,1,3,3,2,3,5,4
29,4,5,5,6,7,7,5,6,8,8,8,7,6,6,4,3,3,6,3,2,1,1,1,1
30,2,2,2,3,4,2,1,1,1,1,1,3,3,2,3,4,3,2,2,1,0,1,4,2
31,1,0,0,0,4,4,4,6,4,3,2,2,2,2,2,3,3,3,3,5,4,2,,
