,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,1,1,1,4,2,4,3,5,5,4,6,6,7,8,8,7,5,5,6,6,7,7,8,8
02,8,8,6,7,8,7,7,7,5,4,6,3,6,6,7,7,7,6,7,7,7,7,7,7
03,7,7,8,8,8,7,7,7,7,7,7,7,7,6,7,7,7,8,8,8,8,8,8,8
04,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,7,7,8,7,7,7
05,7,7,8,8,8,8,8,7,7,8,8,8,8,8,8,8,7,7,6,7,7,7,7,7
06,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,7,7
08,7,7,7,7,7,7,7,7,6,7,7,7,8,8,8,7,7,7,7,7,7,7,7,7
09,7,7,7,7,7,6,7,7,7,6,6,7,7,7,7,8,8,7,7,7,7,8,8,8
10,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,8,8,8,8,8,6,6,6,4,3,5,5,5,6,7,7,7,7,7,7,7,7,6,6
12,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
13,8,6,6,6,4,4,6,5,2,2,3,3,3,2,3,3,3,6,7,5,4,4,3,5
14,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,6,8,7,5,3,3,4,2
15,3,3,3,3,5,5,3,3,3,3,1,4,3,3,3,3,3,3,7,7,5,4,7,7
16,7,7,7,7,7,7,7,6,5,4,3,1,1,1,0,1,1,1,1,3,1,0,1,1
17,4,4,5,1,0,1,2,2,2,3,5,3,3,5,5,4,3,5,6,7,7,7,7,7
18,7,8,8,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,7,7,7,7,6,5,7,7
20,7,6,7,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
21,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
22,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,5,5
23,4,3,1,1,0,0,2,3,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
25,0,0,0,0,1,3,5,6,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7
26,7,7,7,7,7,7,7,7,7,5,5,5,6,5,6,7,7,7,7,7,7,7,7,7
27,7,8,8,8,8,7,7,7,8,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7
28,7,7,7,7,7,3,2,3,6,7,7,7,6,5,3,3,1,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2
30,3,6,7,7,8,8,7,7,7,4,1,2,2,1,1,0,0,0,0,2,2,2,,
