,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,0,0,0,2,2,2,2,4,5,3,3,5,5,3,3,2,1,1,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,0,0,0,0,0,0,0,6,4,6,7,8,7,5,6,7,6,5,3,2,2,2,2,2
05,3,2,0,0,0,0,0,0,0,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0
06,0,0,2,2,2,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,5,7,7,7,7,7,5,5
08,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,1,1,3,5,6,4,3,3,1,1,1,5,5,7,7,7
10,7,7,7,7,7,5,7,7,5,5,6,7,7,7,5,5,4,6,6,5,5,5,5,5
11,6,6,6,6,6,3,5,3,3,3,2,3,3,4,4,3,6,7,7,7,3,5,5,4
12,4,5,5,5,5,5,5,6,4,3,1,5,3,6,7,7,6,3,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,3,3,3,3,3,3,5,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7
15,7,7,6,7,4,0,2,3,4,7,6,6,2,2,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,2,4,4,3,4,1,1,0,0,3,1,1,5,6,7,7,7,7
17,6,6,6,7,7,7,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,5,5,5,5,5,6,6
19,6,6,3,5,6,6,6,6,5,5,7,7,6,5,1,1,3,3,5,5,5,6,6,6
20,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,5,5,6,6,6,7,7,4,4,4,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,2,0,0,0,0,0,0,0
23,0,0,0,1,2,3,7,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
25,0,3,7,7,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0,0,3,3,7,7,7,7,5,7,7,7,7,8,8,8
28,8,5,5,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,2,0,0,0,3,4,5,2,3,3,3,4,5,6,6,7,7
30,7,7,7,5,5,3,1,0,0,0,0,0,3,6,5,1,1,5,7,4,7,7,8,8
31,8,8,8,8,8,8,8,8,8,8,8,8,8,7,4,4,4,3,1,1,1,2,,
