,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,1000,1000,1000,1000,1000,800,700,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
02,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
03,1000,700,600,700,600,700,1000,1000,1000,1000,900,700,700,700,700,900,1000,900,250,600,1000,1000,1000,1000
04,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,200,200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
05,1000,1000,1000,1000,700,300,500,1000,800,1000,450,250,350,450,600,800,1000,1000,1000,1000,1000,1000,1000,1000
06,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,250,600,600,800,1000,900,700,700,700
07,800,800,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,110,140,200,200,220,300,420,800,1000,1000,1000
08,1000,1000,800,800,600,500,500,500,500,500,600,500,500,500,420,420,420,400,400,400,270,230,200,250
09,200,200,200,200,200,200,170,200,300,300,350,250,600,1000,1000,1000,1000,1000,1000,900,700,300,600,600
10,800,800,300,220,200,200,600,1000,1000,1000,1000,420,300,180,700,200,250,500,600,200,150,280,350,350
11,600,350,350,600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
12,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,400,1000,1000,1000,1000,1000,1000,450,1000,900,600,350,1000,1000
13,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
14,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,250,450,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,260
15,240,240,200,270,250,500,600,600,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
17,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
18,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
19,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
20,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
21,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
22,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
24,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
25,1000,1000,1000,1000,1000,800,500,450,500,700,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
26,1000,1000,900,600,700,600,700,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
27,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
28,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
29,1000,1000,700,600,800,500,1000,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,700,600,450
30,200,180,100,10,10,10,100,150,200,270,450,450,500,600,600,600,500,400,350,350,250,250,,
